id;first_name;last_name;phone_number;license_plate_numbers
1;Alwar;Mika;salmon Usability;needs-based project
2;Jerzy;Banaś;eyeballs Club connec;Ball
3;Hugo;Nowaczyk;District;Chief program
4;Klarencjusz;Suski;Reactive;Intelligent Denar
5;Aaron;Klimek;deposit Developer mo;Cambridgeshire Lead
6;Mateusz;Zagórski;navigating visualize;Libia Nuevo
7;Jeremi;Stachurski;neural Electronics;solid fuchsia Unbran
8;Laurencjusz;Konopka;Village SMS;Podkarpackie Cove
9;Julian;Kosiński;Up-sized human-resou;system-worthy Divers
10;Apollo;Rusin;emulation Plastic AG;Ergonomic Home Progr
